titre,réalisateur(s),année_de_production,groupe_de_nationalité2,année_de_dernière_diffusion,nb._de_diffusions,dont_en_première_partie_de_soirée,nb._moyen_de_diffusions_par_an
HUNGER GAMES L'EMBRASEMENT,LAWRENCE Francis,2012,ETATS UNIS,2023,17,9,1.8888888888888888
OBLIVION,KOSINSKI Joseph,2012,ETATS UNIS,2023,17,12,1.7
EVASION,HAFSTROM Mikael,2012,ETATS UNIS,2024,17,11,1.8888888888888888
THE DARK KNIGHT RISES,NOLAN Christopher,2011,GRANDE BRETAGNE,2024,17,10,1.7
PETITS MOUCHOIRS (LES),CANET Guillaume,2009,FRANCE,2024,17,12,1.7
FORCES SPECIALES,RYBOJAD Stephane,2010,FRANCE,2024,17,9,1.7
GRAND BLOND AVEC UNE CHAUSSURE NOIRE (LE),ROBERT Yves,1972,FRANCE,2024,17,12,1.8888888888888888
LUCKY LUKE DAISY TOWN,GOSCINNY René,1970,FRANCE,2024,17,11,1.7
POUR CENT BRIQUES T AS PLUS RIEN,MOLINARO Edouard,1982,FRANCE,2023,17,11,1.7
INSPECTEUR LABAVURE,ZIDI Claude,1980,FRANCE,2024,17,10,1.7
OURS (L'),ANNAUD Jean-Jacques,1987,FRANCE,2024,17,12,1.7
PETIT MONDE DE DON CAMILLO (LE),DUVIVIER Julien,1951,ITALIE / FRANCE,2024,17,8,1.7
AGE DE GLACE 2 (L'),SALDANHA Carlos,2005,ETATS UNIS,2024,17,9,1.7
"ENSEMBLE, C EST TOUT",BERRI Claude,2006,France,2023,17,9,1.7
BUCHE (LA),THOMPSON Danièle,1999,FRANCE,2024,17,8,1.8888888888888888
COMME T Y ES BELLE,AZUELOS Lisa,2004,FRANCE / GRANDE BRETAGNE,2022,17,13,1.7
PRIX A PAYER - ALEXANDRA LECLERE - (LE),LECLERE Alexandra,2006,France,2024,17,12,1.7
ALVIN ET LES CHIPMUNKS,HILL Tim,2006,ETATS UNIS,2024,17,10,1.8888888888888888
MAISON DU BONHEUR (LA),BOON Dany,2005,FRANCE,2023,17,12,1.7
TERMINATOR 2,CAMERON James,1991,ETATS UNIS,2024,17,6,1.7
KING GUILLAUME,MARTIN LAVAL Pierre-François,2008,FRANCE,2023,17,8,1.7
THE DUCHESS,DIBB Saul,2008,GRANDE BRETAGNE / FRANCE,2024,17,8,1.8888888888888888
MAMAN J AI RATE L AVION,COLUMBUS Chris,1990,ETATS UNIS,2024,17,8,1.7
MAUVAISE FOI,ZEM Roschdy,2006,France / Belgique,2023,17,10,1.7
CONTRAT (LE),BERESFORD Bruce,2006,ETATS UNIS,2024,17,10,1.8888888888888888
THE QUEEN,FREARS Stephen,2005,GRANDE BRETAGNE / FRANCE,2024,17,10,1.7
NANNY MCPHEE,JONES Kirk,2005,GRANDE BRETAGNE,2024,17,9,1.8888888888888888
8 FEMMES,OZON François,2001,FRANCE,2024,17,8,1.7
MISSION IMPOSSIBLE II,WOO John,1999,ETATS UNIS,2024,17,12,1.7
ARRETE-MOI SI TU PEUX,SPIELBERG Steven,2002,ETATS UNIS,2024,17,13,1.7
JOHNNY ENGLISH,HOWITT Peter,2003,GRANDE BRETAGNE,2024,17,8,1.7
EVADES (LES) - FRANK DARABONT -,DARABONT Franck,1994,ETATS UNIS,2024,17,11,1.7
"AH, SI J ETAIS RICHE!",BITTON Gerard,2002,FRANCE,2021,17,14,1.7
DOUBLE JEU,BERESFORD Bruce,1999,ETATS UNIS,2023,17,9,1.7
JURASSIC PARK III,JOHNSTON Joe,2001,ETATS UNIS,2024,17,12,1.7
SPEED - GRAHAM YOST -,DE BONT Jan,1993,ETATS UNIS,2023,17,10,1.8888888888888888
BOSSU - PHILIPPE DE BROCA - (LE),DE BROCA Philippe,1997,FRANCE,2024,17,7,1.7
SISTER ACT ACTE 2,DUKE Bill,1993,ETATS UNIS,2024,17,9,1.7
J AI FAIM,QUENTIN Florence,2000,FRANCE,2022,17,12,1.7
